"survey.id","species","sitename","site.id","survey.conducted","year","date","day","month","occurnotes","obsaffil","effortsource_desc","effortsource","effortmethod_desc","countyname","lat","lon","accuracy_desc","locaccuracy","wdfwregion","owlsitecenter_desc","owlsitecenter","count","data.type","age","individual.id","duration","time.to.detect","pass.id","survey.pass"
22,"RACA",NA,18,1,1995,"9/1/1995",1,9,"INDIAN RACE TRACK POND IN INDIAN HEAVEN. : 1 ADULT, 120 FROGLETS, 29 TADS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.94753325,-121.8230594,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"22_1"
23,"RACA",NA,19,1,1995,"9/1/1995",1,9,"INDIAN RACE TRACK  POND : 1 ADULT/120 JUVENILES/29 TADPOLES","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.94763684,-121.8231764,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"23_1"
24,"RACA",NA,20,1,1997,"8/5/1997",5,8,"  : 11 ADULTS/450+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.95284541,-121.7883386,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"24_1"
25,"RACA",NA,21,1,1997,"8/5/1997",5,8,"  : 12 ADULTS/2 TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.95346203,-121.7866913,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"25_1"
26,"RACA",NA,22,1,1997,"8/5/1997",5,8,"  : 9 ADULTS/1 TADPOLE","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.95384809,-121.789845,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"26_1"
27,"RACA",NA,23,1,1997,"8/6/1997",6,8,"  : 4 ADULTS","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.954668,-121.7676275,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"27_1"
28,"RACA",NA,24,1,1997,"8/5/1997",5,8,"  : 13 ADULTS/200+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.95547507,-121.7858797,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"28_1"
29,"RACA",NA,25,1,1997,"8/5/1997",5,8,"  : 28 ADULTS/150+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.95706725,-121.7773951,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"29_1"
30,"RACA",NA,26,1,1997,"8/6/1997",6,8,"  : 1 TADPOLE","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.95754931,-121.7877989,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"30_1"
31,"RACA",NA,27,1,1994,"6/1/1994",1,6,"POND EAST OF YALE DAM, AT SOUTH END OF RESERVOIR. QUAD: 4512283 : 1 ADULT.","MANLOW, S/WDFW",NA,NA,"Ground","Clark",45.95999227,-122.3232849,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"31_1"
32,"RACA",NA,28,1,1997,"8/5/1997",5,8,"  : 13 ADULTS/300+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.96032701,-121.7806016,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"32_1"
33,"RACA",NA,29,1,1997,"8/5/1997",5,8,"  : 17 ADULTS","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.96062392,-121.7784834,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"33_1"
34,"RACA",NA,30,1,1997,"8/5/1997",5,8,"  : 5 ADULTS/400+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.9624452,-121.7801672,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"34_1"
35,"RACA",NA,31,1,1995,"9/1/1995",1,9,"UNNAMED POND IN INDIAN HEAVEN. : 7 FROGLETS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.96892728,-121.817745,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"35_1"
36,"RACA",NA,31,1,1995,"9/1/1995",1,9,"UNNAMED POND IN INDIAN HEAVEN. : 7 FROGLETS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.96892728,-121.817745,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"36_1"
37,"RACA",NA,32,1,1995,"9/1/1995",1,9,"UNNAMED POND IN INDIAN HEAVEN. : 6 FROGLETS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.96950038,-121.8178728,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"37_1"
38,"RACA",NA,33,1,1995,"9/13/1995",13,9,"UNNAMED POND IN INDIAN HEAVEN. : 5 ADULTS, 3 FROGLETS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.97352365,-121.7859782,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"38_1"
39,"RACA",NA,34,1,1997,"8/22/1997",22,8,"  : 9 ADULTS","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.97360728,-121.7873672,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"39_1"
40,"RACA",NA,35,1,1997,"8/22/1997",22,8,"  : 1 ADULT/1 TADPOLE","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.97371267,-121.7854776,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"40_1"
41,"RACA",NA,36,1,1995,"9/13/1995",13,9,"UNNAMED LAKE IN INDIAN HEAVEN. : 8 ADULTS, 5 FROGLETS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.97403193,-121.7870128,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"41_1"
42,"RACA",NA,37,1,1996,"8/21/1996",21,8,"  : 4 ADULTS/4 JUVENILES/4 TADPOLES","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.97441468,-121.7868555,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"42_1"
43,"RACA",NA,37,1,1996,"8/21/1996",21,8,"  : 7 ADULTS/5 JUVENILES","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",45.97441468,-121.7868555,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"43_1"
44,"RACA",NA,38,1,1994,"6/1/1994",1,6,"JUST WEST OF YALE RESERVOIR SADDLE DAM. QUAD: 4512283 : DENSE POPULATION.","MANLOW, S/WDFW",NA,NA,"Ground","Cowlitz",45.97569709,-122.3517897,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"44_1"
45,"RACA",NA,39,1,1994,"7/18/1994",18,7,"T06NR08ES21 CENTER SE 1/4UNNAMED POND, SE OF LAKE UMTUX, THOMAS LAKE TRAIL: ABOUT 12 ADULTS AND 25 JUVENILES","CORKRAN, C/PRIVATE",NA,NA,"Ground","Skamania",45.98793975,-121.8008456,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"45_1"
46,"RACA",NA,40,1,1994,"7/18/1994",18,7,"T06NR08ES21 CENTER SE 1/4UNNAMED VERY SHALLOW POND, S. OF LAKE UMTUX, THOMAS LAKE TRAIL: ABOUT 200 TADPOLES","CORKRAN, C/PRIVATE",NA,NA,"Ground","Skamania",45.98970073,-121.8025476,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"46_1"
47,"RACA",NA,41,1,1994,"7/18/1994",18,7,"T06NR08ES21 CENTER SE 1/4LAKE UMTUX, THOMAS LAKE TRAIL: JUVENILES","CORKRAN, C/PRIVATE",NA,NA,"Ground","Skamania",45.99040521,-121.8009826,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"47_1"
48,"RACA",NA,42,1,1994,"7/18/1994",18,7,"T06NR08ES21NWNEINDIAN HEAVEN WILDERNESS, POOL IN SNOWMELT CHANNEL MEANDERING THRU MEADOW: 10 ADULTS, 15 SUBADULTS","CORKRAN, C/PRIVATE",NA,NA,"Ground","Skamania",46.00111141,-121.8085323,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"48_1"
49,"RACA",NA,43,1,1996,"6/24/1996",24,6,"T06N R16E S14 NESE / ELEV 4600 FT : 100 TADPOLES, 4 YEARLING METAMORPHS, 2 2 YR OLDS AND 1 ADULT","LEONARD, B/WDOE/ WDOT /WADNR*",NA,NA,"Ground","Klickitat",46.00317468,-120.7606001,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"49_1"
50,"RACA",NA,44,1,1996,"6/24/1996",24,6,"T06N R16E S17 SWNE / ELEV 5560 FT / N SIDE OF RD : 1 ADULT","LEONARD, B/WDOE/ WDOT /WADNR*",NA,NA,"Ground","Klickitat",46.00691845,-120.8287556,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"50_1"
51,"RACA",NA,45,1,1996,"6/24/1996",24,6,"T06N R16E S15 SENW / ELEV 5440 FT / N SIDE OF RD : 100+ TADPOLES, 4 YEARLING METAMORPHS, 2 TWO YR OLDS, 1 ADULT","LEONARD, B/WDOE/ WDOT /WADNR*",NA,NA,"Ground","Klickitat",46.00824067,-120.7935564,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"51_1"
52,"RACA",NA,46,1,2000,"8/8/2000",8,8,"  : JUVENILES
","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01826758,-121.7484266,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"52_1"
53,"RACA",NA,47,1,2000,"8/8/2000",8,8,"INDIAN HEAVEN/UNNAMED POND : 25 OBSERVED","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01826863,-121.7479631,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"53_1"
54,"RACA",NA,48,1,1997,"8/21/1997",21,8,"  : 2 ADULTS/2 FROGLETS","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01831187,-121.7482775,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"54_1"
55,"RACA",NA,49,1,1995,"8/31/1995",31,8,"UNNAMED POND IN INDIAN HEAVEN. : 1 ADULT, 1 FROGLET, 1000+ TADS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01898802,-121.7480454,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"55_1"
56,"RACA",NA,50,1,2000,"8/8/2000",8,8,"  : TADPOLES/JUVENILES
","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01913409,-121.7481978,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"56_1"
57,"RACA",NA,51,1,2000,"8/8/2000",8,8,"INDIAN HEAVEN/UNNAMED POND : 30 ADULTS/4FROGLETS/200+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01922997,-121.7481384,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"57_1"
58,"RACA",NA,52,1,1996,"8/16/1996",16,8,"  : 1000+ TADPOLES/3 JUVENILES/7 ADULTS","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01942978,-121.7478719,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"58_1"
59,"RACA",NA,53,1,1997,"8/21/1997",21,8,"  : 5 ADULTS/1000+ TADPOLES","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01954852,-121.7479784,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"59_1"
60,"RACA",NA,54,1,1995,"8/31/1995",31,8,"WAPIKI LAKE IN INDIAN HEAVEN. : 10 ADULTS, 5 FROGLETS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.01985178,-121.7483839,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"60_1"
61,"RACA",NA,55,1,1973,"8/1/1973",1,8,"GIFFORD PINCHOT NF, JCT RD N-73 & S FK CURLY CRK. :  ","UNKNOWN/UNKNOWN",NA,NA,"Ground","Skamania",46.02020914,-121.8943502,"1 mile (Section)",5280,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"61_1"
62,"RACA",NA,56,1,2000,"8/8/2000",8,8,"LAKE WAPIHI :  ","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.02071955,-121.7489404,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"62_1"
63,"RACA",NA,57,1,1996,"8/16/1996",16,8,"LAKE WAPIKI : 4 JUVENILES/8 ADULTS","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.02072722,-121.7492044,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"63_1"
64,"RACA",NA,58,1,1995,"8/31/1995",31,8,"UNNAMED POND IN INDIAN HEAVEN. : 5 ADULTS, 1000+ TADS.","GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.02146101,-121.7312049,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"64_1"
65,"RACA",NA,59,1,1996,"8/16/1996",16,8,"  : 15 JUVENILES/20 TADPOLES","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.02154499,-121.7310606,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"65_1"
66,"RACA",NA,60,1,1967,"7/1/1967",1,7,"7MI WNW TROUT LAKE :  ","METTER, D/US NAT MUSEUM - DC",NA,NA,"Ground","Skamania",46.02156657,-121.6656997,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"66_1"
67,"RACA",NA,61,1,1995,"8/31/1995",31,8,"LAKE COMCOMLY. : 1 ADULT.","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.02189788,-121.7191484,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"67_1"
68,"RACA",NA,62,1,1996,"8/16/1996",16,8,"LAKE COMCOMLY : 4 ADULTS","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.02254181,-121.7205032,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"68_1"
69,"RACA",NA,63,1,1967,"7/25/1967",25,7,"5 MI WNW OF TROUT LAKE :  ","METTER, D/US NAT MUSEUM - DC",NA,NA,"Ground","Skamania",46.02741689,-121.6299251,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"69_1"
70,"RACA",NA,64,1,1999,"10/1/1999",1,10,"ACCURATE TO QTR SECTION :  ","WEST, S/UNIV OF WASHINGTON",NA,NA,"Ground","Skamania",46.02890451,-121.9330772,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"70_1"
71,"RACA",NA,65,1,1958,"6/25/1958",25,6,"3 MI NW TROUT LAKE :  ","METTER, D/US NAT MUSEUM - DC",NA,NA,"Ground","Klickitat",46.02990556,-121.5750867,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"71_1"
72,"RACA",NA,65,1,1958,"6/25/1958",25,6,"3 MI NW TROUT LAKE :  ","METTER, D/US NAT MUSEUM - DC",NA,NA,"Ground","Klickitat",46.02990556,-121.5750867,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"72_1"
73,"RACA",NA,65,1,1958,"6/25/1958",25,6,"3 MI NW TROUT LAKE :  ","METTER, D/US NAT MUSEUM - DC",NA,NA,"Ground","Klickitat",46.02990556,-121.5750867,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"73_1"
74,"RACA",NA,65,1,1958,"6/25/1958",25,6,"3 MI NW TROUT LAKE :  ","METTER, D/US NAT MUSEUM - DC",NA,NA,"Ground","Klickitat",46.02990556,-121.5750867,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"74_1"
75,"RACA",NA,66,1,1917,"8/4/1917",4,8,"YAKIMA INDIAN RESERVATION, 15 MI N OF GOLDENDALE, SIMCOE MTS, NEAR POTATO HILL : FEMALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.04329489,-120.8453551,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"75_1"
76,"RACA",NA,66,1,1917,"8/4/1917",4,8,"YAKIMA INDIAN RESERVATION, 15 N OF GOLDENDALE, SIMCOE MTS., NEAR POTATO HILL : FEMALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.04329489,-120.8453551,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"76_1"
77,"RACA",NA,66,1,1917,"8/4/1917",4,8,"YAKIMA INDIAN RESERVATION, 15 MI N OF GOLDENDALE, SIMCOE MOUNTIANS, NEAR POTATO HILL : FEMALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.04329489,-120.8453551,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"77_1"
78,"RACA",NA,66,1,1917,"8/4/1917",4,8,"YAKIMA INDIAN RESERVATION, 15 MI N OF GOLDENDALE, SIMCOE MOUNTIANS, NEAR POTATO HILL : FEMALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.04329489,-120.8453551,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"78_1"
79,"RACA",NA,66,1,1917,"8/4/1917",4,8,"YAKIMA INDIAN RESERVATION, 15 MI N OF GOLDENVALE, SIMCOE MOUNTIANS, NEAR POTATO HILL : MALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.04329489,-120.8453551,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"79_1"
80,"RACA",NA,66,1,1917,"8/4/1917",4,8,"YAKIMA INDIAN RESERVATION, 15 MI N OF GOLDENDALE, SIMCOE MOUNTIANS, NEAR POTATO HILL : MALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.04329489,-120.8453551,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"80_1"
81,"RACA",NA,66,1,1917,"8/4/1917",4,8,"YAKIMA INDIAN RESERVATION, 15 MI N GOLDENDALE, OF SIMCOE MOUNTIANS, NEAR POTATO HILL : MALE;","TAYLOR, W/UNKNOWN",NA,NA,"Ground","Yakima",46.04329489,-120.8453551,"General locality",13120,3,NA,NA,1,"PO","NR",NA,NA,NA,1,"81_1"
82,"RACA",NA,67,1,1967,"6/30/1967",30,6,"5 MI N.W TROUT LAKE :  ","METTER, D/US NAT MUSEUM - DC",NA,NA,"Ground","Skamania",46.04476337,-121.6004371,"General locality",13120,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"82_1"
83,"RACA",NA,68,1,1996,"8/15/1996",15,8,"HIDDEN LAKES : 2 ADULTS","FLICK, C/USFS;GIBBS, R/USFS",NA,NA,"Ground","Skamania",46.04722605,-121.7327278,"1/4 mile (Quarter Section)",1320,5,NA,NA,1,"PO","NR",NA,NA,NA,1,"83_1"
