"survey.id","species","rep_accy","first_obs","last_obs","day","month","year","directions","surveysite","site.id","lat","lon","survey.conducted","pop_data","annobs","hab_desc","min_el","max_el","aspect","slope","ma_name","ma_com","prot_com","misc_com","specimen","short_ref","data.type","age","individual.id","time.to.detect","count","pass.id","survey.pass"
22,"RACA","Low","8/12/1934","8/12/1934",12,8,1934,"POLE BRIDGE CREEK, TRIBUTARY TO ANNIE CREEK, CRATER LAKE NATIONAL PARK",NA,22,42.5039,-122.0929,1,"1934: SPECIES COLLECTED",NA,NA,5900,NA,NA,NA,"CRATER LAKE NATIONAL PARK",NA,NA,"COLLECTOR: C.L. HUBBS",NA,"Nussbaum 1983","PO","NR",NA,NA,1,1,"22_1"
23,"RACA","Low","4/28/1993","4/28/1993",28,4,1993,"S END OF STUMP LAKE.","STUMP LAKE",23,43.1439,-122.1649,1,"1993: APPROX 25 EGG MASSES IN VARIOUS STAGES OF DEVELOPMENT.",NA,"PONDED AREA OF WETLAND. WATER IS DARK ORANGE WITH OILY FILM ON SURFACE, 6-8 FT DEEP.",3920,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: ENGEL & GARRETT",NA,"Engel ","PO","NR",NA,NA,1,1,"23_1"
24,"RACA","High","1995-08","1995-08",NA,8,1995,"ON LITTLE RIVER, ABOUT 700 M UPSTREAM FROM EMILE CR. CAMPGROUND",NA,24,43.1437,-122.5306,1,"1995: 2 FOUND.",NA,NA,1300,NA,NA,NA,"SWIFTWATER RESOURCE AREA; ROSEBURG BLM DISTRICT",NA,NA,"OBSERVED BY: D.MAJORS",NA,"Davis ","PO","NR",NA,NA,1,1,"24_1"
25,"RACA","Unknown","10/24/1987","7/4/1992",4,7,1992,"TRAPPER SPRINGS AND WARM SPRINGS MEADOWS. E SKYLINE ROAD, APPROX. .75 MI SOUTH OF WARM SPRINGS RIVER","TRAPPER SPRINGS MEADOW",25,44.5815,-121.472,1,"1992: 100 ADULTS AND 3 YOUNG SEEN. 1987: SAW MORE THAN 2 FROGS.",NA,"TWO NATURAL MEADOWS WITH SPRINGS AND MEANDERING STREAM. OLD BEAVER PONDS AND OTHER MOSTLY FILLED IN POOLS. MIXED GRASSES AND SHRUBS SURROUNDED BY FOREST; SOME LARGE SNAGS. (ABOUT 80 ACRES)",3800,NA,NA,NA,"Mount Hood National Forest; BEAR SPRINGS RANGER DISTRICT",NA,"LITTLE OR NO HUMAN ACTIVITY","BEAVER PONDS MOSTLY FILLED IN. NO RECENT BEAVER ACTIVITY IN SOUTHERN MEADOW.",NA,"Corkran 1987; Corkran 1993","PO","NR",NA,NA,1,1,"25_1"
26,"RACA","High","1995-07","1995-08",NA,8,1995,"ON JUNCTION CREEK, ABOUT 1.5 KM FROM JUNCTION WITH LITTLE RIVER",NA,26,43.1352,-122.4352,1,"1995: 4 FOUND.",NA,NA,2800,NA,NA,NA,"NORTH UMPQUA RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVED BY: D.MAJORS",NA,"Davis ","PO","NR",NA,NA,1,1,"26_1"
27,"RACA","High","6/26/2022","6/26/2022",26,6,2022,"Government Camp. 750 meters NW (toward Mount Hood) from the parking lot on NF-3545.","Umbrella Falls Trail #667",27,45.1949,-121.3857,1,"2022 (06-26): 20 adults present; large egg mass, and numerous tadpoles. Photographed.","2022 - At least 20 adults present","Elevation: 5300-5500 feet.",5300,5500,NA,NA,"Mount Hood National Forest",NA,NA,"2022 observation by Michele Zwartjes.",NA,"Zwartjes 2022","PO","NR",NA,NA,1,1,"27_1"
28,"RACA","High","1995-07","1995-08",NA,8,1995,"ON LITTLE RIVER, ABOUT 1 KM BELOW GREENAN CR.",NA,28,43.1356,-122.5855,1,"1995: 41 FOUND",NA,NA,990,NA,NA,NA,"SWIFTWATER RESOURCE AREA; ROSEBURG BLM DISTRICT",NA,NA,"OBSERVED BY: D. MAJORS",NA,"Davis ","PO","NR",NA,NA,1,1,"28_1"
29,"RACA","High","5/19/1993","5/19/1993",19,5,1993,"JUNCTION OF USFS RDS 34 AND 101, EAST OF DEER CREEK","DEER CREEK",29,43.191,-122.2149,1,"1993: 1 ADULT, 1 JUVENILE AND 2 EGG MASSES.",NA,"POND IN WETLAND AREA SURROUNDED BY SHRUBS IN ROADWAY AND 01. ACRE POND ALONG ROAD IN YOUNG MIXED CONIFER FOREST.",3200,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS; C. MCSHANE AND M. GARRETT. K. ENGEL AND M. GARRETT.",NA,"Engel ","PO","NR",NA,NA,1,1,"29_1"
30,"RACA","High","10/19/1992","10/19/1992",19,10,1992,"RYE SPUR QUARRY POND, AT THE END OF 3661-365 ROAD. SOUTH OF FOURMILE LAKE.","RYE SPUR QUARRY RD",30,42.2624,-122.1348,1,"1992: 1 ADULT.",NA,"ROCK QUARRY FILLED WITH WATER.",5840,NA,NA,NA,"Fremont-Winema National Forest; KLAMATH RANGER DISTRICT",NA,NA,"OBSERVERS: HARDY AND JENNINGS. IDENTIFIED AS SPOTTED FROG BUT PROBABLY CASCADE FROG BASED ON ELEVATION AND ""YELLOW UNDERLEGS"".",NA,"Tyson 1990","PO","NR",NA,NA,1,1,"30_1"
31,"RACA","Medium","4/27/1993","5/27/1993",27,5,1993,"EPHEMERAL POND ALONG LEMOLO NO. 2 CANAL, 0.25 MI E OF NANCY CREEK.","NANCY CREEK",31,43.2121,-122.1525,1,"1993: 1 FROG & 200+ TADPOLES COMBINED WITH BROKEN EGG MASSES.",NA,"EPHEMERAL POND IN ROADSIDE DITCH.",3400,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,NA,NA,"Engel ","PO","NR",NA,NA,1,1,"31_1"
32,"RACA","High","1990","4/5/1991",5,4,1991,"POND NORTH OF DEVIL'S KNOB CAMP. TAKE FS ROAD 1610 TO 430 SPUR, TO 434 SPUR, THEN TO 442 SPUR.","DEVILS KNOB",32,42.5159,-122.4735,1,"1991: 3 FROGS AND 3 EGG MASSES OBSERVED. 1990: TADPOLES OBSERVED.",NA,"POND 30X30X8 FEET DEEP ON SMALL BENCH IN BOTTOM OF DRAW. AREA LACKS VEGETATIVE COVER.",4000,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest","HEAVY COW USE AND RECENT LOGGING.",NA,"REPORTED BY TED SCHATTENKERK. SPECIMENS COLLECTED IN 1991 BY JOE BEATTY, OSU.",NA,"Shattenkerk ","PO","NR",NA,NA,1,1,"32_1"
33,"RACA","High","3/5/1992","3/5/1992",5,3,1992,"AT THE END OF THE 2814-505 RD, ALONG SKILLET CK.","SKILLET CREEK",33,43.0644,-122.3649,1,"2 RANA CASCADAE OBSERVED; LARGE EGG MOSS WITH BLACK EMBRYOS FOUND IN POOL.",NA,"FROGS FOUND IN POOL BY THE NE SIDE OF ROAD; JUNCUS AND GRASSES SCATTERED IN AND NEAR POND BUT AREA SUFFOUNDED BY PILES OF SOIL AND SOME DEAD WOODY MATERIAL. ABOUT 50 FT AWAY THERE ARE SCATTERED DOUG FIR AND INCENSE CEDAR.",2640,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,"POOL IS IN THE MIDDLE OF A LOG LANDING, MAY BE EASILY DISTURBED BY VEHICLES.","OBSERVERS- S. PLAMBECK, P. STANFORD",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"33_1"
34,"RACA","Very High","8/9/1990","8/16/1990",16,8,1990,"WEED TIMBER SALE UNIT 6. ALONG UPPER BEAVER CREEK & TRIBUTARIES.","WEED TIMBER SALE",34,42.5332,-122.4324,1,"1990: 15 FROGS IDENTIFID IN 3 AREAS.",NA,"CLASS III CREEK, A LOT OF VINE MAPLE",3240,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER, PATTY TURCOTTE",NA,"Turcotte 1992","PO","NR",NA,NA,1,1,"34_1"
35,"RACA","High","5/12/1993","6/14/1993",14,6,1993,"CASTLE ROCK FORK. TAKE 28 RD TO 2823 ROAD, GO 3.5 MILES. WALK UP CLASS III TRIBUTARY TO ROCKY/SEEPY AREA.",NA,35,43.0617,-122.3424,1,"1993: 5 FROGS, 3 IN STREAM, 2 IN SEEP.",NA,"ROCKY/SEEPY AREA ALONG PERENNIAL STREAM, UNBUFFERED, EXTREMELY DOWNCUT",2240,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: S. BARNES. FS RECORD #A-06-252",NA,"Masters ","PO","NR",NA,NA,1,1,"35_1"
36,"RACA",NA,"6/7/1993","6/24/2009",24,6,2009,"ALONG USFS RD 620, APPROX 0.2 MI S OF JCT WITH USFS RD 700.","OAK FLATS; Copeland Creek Tributary",36,43.1559,-122.3049,1,"2009: (06/24): Frogs observed during ODFW Oregon Plan Habitat Survey. 1993: 1 FROG OBSERVED.",NA,"EMERGENT WETLAND ALONG SMALL STREAM ON E SIDE OF RD.",2560,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: C. MCSHANE",NA,"Engel ","PO","NR",NA,NA,1,1,"36_1"
37,"RACA","Low","1992","1992",NA,NA,1992,"SOUTH UMPQUA",NA,37,43.0551,-122.374,1,"2 RANA CASCADAE, 1 RANA AURORA, DATE NOT GIVEN, PROBABLY 1990 OR 1991.",NA,"BEDROCK COBBLE POOL ON THE SOUTH UMPQUA",NA,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,NA,NA,"Roper. B. ","PO","NR",NA,NA,1,1,"37_1"
38,"RACA","High","5/13/1992","5/13/1992",13,5,1992,"TRIBUTARY TO BUCKEYE CREEK, APPROX. 1.0 MI S OF ACKER ROCK.","BUCKEYE CREEK",38,43.0319,-122.3848,1,"2 ADULT AND 12 JUVENILES OBSERVED.",NA,"PERENNIAL STREAM WITH SMALL SIDE CHANNEL; SIDE CHANNEL HAS SEVERAL POOLS UP TO 12"" DEEP AND IS WELL SHADED BY VINE MAPLE AND HAS SOIL BANKS WITH HEAVY GOUND COVER.",2040,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS- SHULTZ, LAMBERT",NA,"Tiller Ranger District 1992","PO","NR",NA,NA,1,1,"38_1"
39,"RACA","Low","1990","1990",NA,NA,1990,"ODELL CREEK",NA,39,43.3304,-121.562,1,"2 OBSERVED; 1 - .25 MILES DOWNSTREAM FROM HWY 50; BRIDGE ON ODELL CREEK. 1 - 1.O MILE DOWNSTREAM FROM MAKLAKS CREEK.",NA,"RIPARIAN - MIXED CONIFER, LODGEPOLE",4700,NA,NA,NA,"Deschutes National Forest; CRESCENT RANGER DISTRICT",NA,NA,"1990 ODFW SIGHTING REPORT; SHAW, TODD & KERRY PETERSON",NA,"Peterson 1990; Shaw 1990","PO","NR",NA,NA,1,1,"39_1"
40,"RACA","High","1997-06","1997-06",NA,6,1997,"FULLER LAKE","FULLER LAKE",40,43.2409,-122.2942,1,"1997: 100 INCLUDING 2 ADULTS AND 100'S OF TADPOLES SEEN/TRAPPED.",NA,NA,4905,NA,NA,NA,"NORTH UMPQUA RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: T. BELCHER.",NA,"Davis ","PO","NR",NA,NA,1,1,"40_1"
41,"RACA","Low","7/12/1969","7/13/1990",13,7,1990,"BIG BEN-SOUTH FORK CAMPGROUND AREAS INCLUDING NICHOLS, SAM, BIG BEN, GREEN AND FREY CREEKS, AND BLACK BEAR SWAMP.",NA,41,42.3824,-122.1905,1,"1990: 5 TO 9 FROGS, AGE UNKNOWN. 1969: ADULTS COLLECTED.",NA,"MODERATE TO SLOW MOVING WATER WITH ROCK AND MUCK BOTTOM; MOSS COVERED ROCKS, AQUATIC VEGETATION; WET MEADOW, BOG (SWAMP) JUST NORTH OF CREEK.",4100,NA,NA,NA,"High Cascades Ranger District; Rogue River-Siskiyou National Forest; Sky Lakes Wilderness Area",NA,"RECREATIONAL USE BY CAMPERS.","1990 FS SIGHTING REPORT, SMITH, M. &amp; D. TEGHTMEYER. COLLECTOR: MICHAEL LAIS, SOSC MUSEUM OF NATURAL HISTORY.",NA,"Teghtmeyer 1990; Lais 1969; Smith 1990","PO","NR",NA,NA,1,1,"41_1"
42,"RACA","Medium","8/15/1990","8/15/1990",15,8,1990,"BERRY TIMBER SALE UNIT 14, ON NE CORNER OF UNIT AMONG SERVICEBERRY CK.","BERRY TIMBER SSALE",42,42.5454,-122.4008,1,"1990: 4 FROGS CAUGHT & IDENTIFIED.",NA,"SMALL TRICKLE OF WATER WITH A NARROW BORDER OF RIPARIAN VEGETATION. NO PONDS.",4400,NA,NA,NA,"TILLER RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVER: TED SCHATTENKERK",NA,"Schattenkerk 1990","PO","NR",NA,NA,1,1,"42_1"
43,"RACA","Low","4/29/1993","4/29/1993",29,4,1993,"UNDER POWERLINE IN DITCH ALONG LEMOLO CANAL NO. 2. USFS RD 300, APPROX 0.4 MI N OF CLEARWATER RIVER/MAPLE CREEK CONFLUENCE.","MAPLE CREEK",43,43.1449,-122.2129,1,"1993: 1 FROG OBSERVED.",NA,"EPHEMERAL POND IN DRAINAGE DITCH ALONG RD.",3320,NA,NA,NA,"DIAMOND LAKE RANGER DISTRICT; Umpqua National Forest",NA,NA,"OBSERVERS: ENGEL & GARRETT",NA,"Engel ","PO","NR",NA,NA,1,1,"43_1"
