"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","accuracy_m","coordinate.info","notes","weather","air.temp","date","count","survey.pass"
208,43.326521,-72.728986,25,8,2005,1,14,"PO",1,"DFUS","NR",NA,NA,1000,"Lat and long added by CB using GE","Weather history: Previous 2 days were cool, partly cloudy with brief, isolated showers.
","Cool; partly cloudy.",21,"8/25/2005",1,"14_1"
208,43.326521,-72.728986,25,8,2005,1,15,"PO",1,"DFUS","NR",NA,NA,1000,"Lat and long added by CB using GE","Weather history: Previous 2 days were cool, partly cloudy with brief, isolated showers.
","Cool; partly cloudy.",21,"8/25/2005",1,"15_1"
192,43.293095,-72.731804,25,8,2005,1,16,"PO",1,"DFUS","NR",NA,NA,2000,"lat and long added by CB using GE and near Trout Brook","Weather history: Previous 2 days were cool, partly cloudy with brief, isolated showers.
","Cool; partly cloudy.",21,"8/25/2005",1,"16_1"
119,43.084469,-73.197317,11,6,2019,1,17,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long provided by J.A. using Google Earth. ",NA,NA,NA,"6/11/2019",1,"17_1"
125,43.103049,-73.13942,2,8,2022,1,18,"PO",1,"DFUS","adult",NA,NA,300,"Lat long assigned by Matt Gorton using GE.","Under moss on log raised a few inches off of a seep.

Weather History: Seasonable past few days; hot and dry summer.","Overcast",23.9,"8/2/2022",1,"18_1"
125,43.103049,-73.13942,2,8,2022,1,19,"PO",1,"DFUS","adult",NA,NA,300,"Lat long assigned by Matt Gorton using GE.","Under moss on log raised a few inches off of a seep.

Weather History: Seasonable past few days; hot and dry summer.","Overcast",23.9,"8/2/2022",1,"19_1"
139,43.13335,-72.563045,3,10,1996,1,20,"PO",1,"DFUS","NR",NA,NA,50,"C.B. using Google Earth","Stream had two-lines and spring salamanders.",NA,NA,"10/3/1996",1,"20_1"
133,43.119535,-72.617053,18,7,2002,1,21,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by C.B. using GE",NA,"Partly sunny",NA,"7/18/2002",1,"21_1"
133,43.119535,-72.617053,18,7,2002,1,22,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by C.B. using GE",NA,"Partly sunny",NA,"7/18/2002",1,"22_1"
133,43.119535,-72.617053,18,7,2002,1,23,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by C.B. using GE",NA,"Partly sunny",NA,"7/18/2002",1,"23_1"
133,43.119535,-72.617053,18,7,2002,1,24,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by C.B. using GE",NA,"Partly sunny",NA,"7/18/2002",1,"24_1"
133,43.119535,-72.617053,18,7,2002,1,25,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by C.B. using GE",NA,"Partly sunny",NA,"7/18/2002",1,"25_1"
133,43.119535,-72.617053,18,7,2002,1,26,"PO",1,"DFUS","NR",NA,NA,50,"Lat and long added by C.B. using GE",NA,"Partly sunny",NA,"7/18/2002",1,"26_1"
1210,44.912049,-71.689187,23,6,2022,1,27,"PO",1,"DFUS","NR",NA,NA,500,"Lat and long provided by observer.","Weather History: rained 2 days ago.","cloudy",22,"6/23/2022",1,"27_1"
1210,44.912049,-71.689187,23,6,2022,1,28,"PO",1,"DFUS","NR",NA,NA,500,"Lat and long provided by observer.","Weather History: rained 2 days ago.","cloudy",22,"6/23/2022",1,"28_1"
1210,44.912049,-71.689187,23,6,2022,1,29,"PO",1,"DFUS","NR",NA,NA,500,"Lat and long provided by observer.","Weather History: rained 2 days ago.","cloudy",22,"6/23/2022",1,"29_1"
1171,44.802222,-72.753814,19,6,2003,1,30,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"6/19/2003",1,"30_1"
1168,44.794606,-72.751505,19,6,2003,1,31,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"6/19/2003",1,"31_1"
1171,44.802222,-72.753814,19,6,2003,1,32,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"6/19/2003",1,"32_1"
1171,44.802222,-72.753814,19,6,2003,1,33,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"6/19/2003",1,"33_1"
1168,44.794606,-72.751505,19,6,2003,1,34,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"6/19/2003",1,"34_1"
1171,44.802222,-72.753814,19,6,2003,1,35,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"6/19/2003",1,"35_1"
1174,44.8039,-72.844583,6,8,2017,1,36,"PO",1,"DFUS","NR",NA,NA,NA,"Lat and long provided by observer. ",NA,NA,NA,"8/6/2017",1,"36_1"
1174,44.8039,-72.844583,6,8,2017,1,37,"PO",1,"DFUS","NR",NA,NA,NA,"Lat and long provided by observer. ",NA,NA,NA,"8/6/2017",1,"37_1"
1174,44.8039,-72.844583,6,8,2017,1,38,"PO",1,"DFUS","NR",NA,NA,NA,"Lat and long provided by observer. ",NA,NA,NA,"8/6/2017",1,"38_1"
1154,44.7514,-72.83862,4,5,2021,1,39,"PO",1,"DFUS","NR",NA,NA,5,"Lat long assigned by observers",NA,"Overcast",11,"5/4/2021",1,"39_1"
1153,44.74989,-72.83724,4,5,2021,1,40,"PO",1,"DFUS","NR",NA,NA,3,"Lat long assigned by observers",NA,"Overcast",11,"5/4/2021",1,"40_1"
415,43.700769,-72.667081,2,10,2015,1,41,"PO",1,"DFUS","NR",NA,NA,1500,"Lat and long added by CB using GE and general Barnard town forest area","Weather History: Rains two days ago after a drought. 
Original filed with G. porphyriticus in the town of Royalton. ","Partly Cloudy",9,"10/2/2015",1,"41_1"
874,44.283645,-72.13827,30,7,2001,1,42,"PO",1,"DFUS","NR",NA,NA,1609,"Lat and long added by C.B. using Google Earth.",NA,"Partly cloudy",33,"7/30/2001",1,"42_1"
882,44.29776,-72.147675,22,6,2002,1,43,"PO",1,"DFUS","NR",NA,NA,250,"Lat and long added by C.B. using Google Earth.","I caught 2 individuals. One in the photos was all intact. ---[separate record] A second individual looked as though it had recovered from some accident. It was missing one hind foot and had an open sore on it's tail .",NA,NA,"6/22/2002",1,"43_1"
882,44.29776,-72.147675,22,6,2002,1,44,"PO",1,"DFUS","NR",NA,NA,250,"Lat and long added by C.B. using Google Earth. ","I caught 2 individuals. One in the photos was all intact. ---[separate record] A second individual looked as though it had recovered from some accident. It was missing one hind foot and had an open sore on it's tail .",NA,NA,"6/22/2002",1,"44_1"
817,44.211372,-72.50023,28,4,2013,1,45,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"4/28/2013",1,"45_1"
816,44.20916,-72.49468,2,9,2013,1,46,"PO",1,"DFUS","NR",NA,NA,NA,NA,"Additional individuals of species in above mentioned aquatic habitat",NA,NA,"9/2/2013",1,"46_1"
794,44.178763,-72.469392,11,9,2008,1,47,"PO",1,"DFUS","NR",NA,NA,200,"Lat and long added by CB using GE",NA,NA,NA,"9/11/2008",1,"47_1"
776,44.16015,-72.48969,16,6,2013,1,48,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"6/16/2013",1,"48_1"
37,42.873926,-73.197545,8,7,2004,1,49,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"7/8/2004",1,"49_1"
58,42.922373,-73.175211,10,6,2021,1,50,"PO",1,"DFUS","NR",NA,NA,400,"Lat and long provided by observer, K.K. using GE","Weather History: Hot and dry 5 - 6 days ago, then rain (some) past 2  - 3 days.","partly cloudy",19,"6/10/2021",1,"50_1"
58,42.922373,-73.175211,10,6,2021,1,51,"PO",1,"DFUS","NR",NA,NA,400,"Lat and long provided by observer, K.K. using GE","Weather History: Hot and dry 5 - 6 days ago, then rain (some) past 2  - 3 days.","partly cloudy",19,"6/10/2021",1,"51_1"
58,42.922373,-73.175211,10,6,2021,1,52,"PO",1,"DFUS","NR",NA,NA,400,"Lat and long provided by observer, K.K. using GE","Weather History: Hot and dry 5 - 6 days ago, then rain (some) past 2  - 3 days.","partly cloudy",19,"6/10/2021",1,"52_1"
390,43.672386,-73.241284,19,10,2022,1,53,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"53_1"
390,43.672386,-73.241284,19,10,2022,1,54,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"54_1"
390,43.672386,-73.241284,19,10,2022,1,55,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"55_1"
390,43.672386,-73.241284,19,10,2022,1,56,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"56_1"
390,43.672386,-73.241284,19,10,2022,1,57,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"57_1"
390,43.672386,-73.241284,19,10,2022,1,58,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"58_1"
390,43.672386,-73.241284,19,10,2022,1,59,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"59_1"
390,43.672386,-73.241284,19,10,2022,1,60,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"60_1"
390,43.672386,-73.241284,19,10,2022,1,61,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"61_1"
390,43.672386,-73.241284,19,10,2022,1,62,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"62_1"
390,43.672386,-73.241284,19,10,2022,1,63,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"63_1"
390,43.672386,-73.241284,19,10,2022,1,64,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"64_1"
390,43.672386,-73.241284,19,10,2022,1,65,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"65_1"
390,43.672386,-73.241284,19,10,2022,1,66,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"66_1"
390,43.672386,-73.241284,19,10,2022,1,67,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"67_1"
390,43.672386,-73.241284,19,10,2022,1,68,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"68_1"
390,43.672386,-73.241284,19,10,2022,1,69,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"69_1"
390,43.672386,-73.241284,19,10,2022,1,70,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"70_1"
390,43.672386,-73.241284,19,10,2022,1,71,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"71_1"
390,43.672386,-73.241284,19,10,2022,1,72,"PO",1,"DFUS","NR",NA,NA,520,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",8.3,"10/19/2022",1,"72_1"
805,44.199391,-72.615022,6,6,2002,1,73,"PO",1,"DFUS","NR",NA,NA,300,NA,"Accidentally found while checking site.

Originally had photos, however, we had more recent photos from this town. So we disposed of those photos and changed the status to sight.",NA,NA,"6/6/2002",1,"73_1"
842,44.253778,-72.632004,31,8,2021,1,74,"PO",1,"DFUS","NR",NA,NA,1000,"Lat long assigned by Cynthia Brown using GE and central Bartlett Hill Road",NA,NA,NA,"8/31/2021",1,"74_1"
842,44.253778,-72.632004,31,8,2021,1,75,"PO",1,"DFUS","NR",NA,NA,1000,"Lat long assigned by Cynthia Brown using GE and central Bartlett Hill Road",NA,NA,NA,"8/31/2021",1,"75_1"
802,44.189848,-72.620228,1,11,2022,1,76,"PO",1,"DFUS","NR",NA,NA,260,"Lat long assigned by Matt Gorton using GE.",NA,"Mostly Cloudy",17.2,"11/1/2022",1,"76_1"
802,44.189848,-72.620228,1,11,2022,1,77,"PO",1,"DFUS","NR",NA,NA,260,"Lat long assigned by Matt Gorton using GE.",NA,"Mostly Cloudy",17.2,"11/1/2022",1,"77_1"
519,43.850079,-72.696687,15,5,1999,1,78,"PO",1,"DFUS","NR",NA,NA,3000,"Lat longs added by JA using Google Earth.  I could not remember where this location was, so lat longs show point roughly 1/2 up Camp Brook Road.","Note: Field trip","Sunny and warm",23,"5/15/1999",1,"78_1"
519,43.850079,-72.696687,15,5,1999,1,79,"PO",1,"DFUS","NR",NA,NA,3000,"Lat longs added by JA using Google Earth.  I could not remember where this location was, so lat longs show point roughly 1/2 up Camp Brook Road.","Note: Field trip","Sunny and warm",23,"5/15/1999",1,"79_1"
519,43.850079,-72.696687,15,5,1999,1,80,"PO",1,"DFUS","NR",NA,NA,3000,"Lat longs added by JA using Google Earth.  I could not remember where this location was, so lat longs show point roughly 1/2 up Camp Brook Road.","Note: Field trip","Sunny and warm",23,"5/15/1999",1,"80_1"
519,43.850079,-72.696687,15,5,1999,1,81,"PO",1,"DFUS","NR",NA,NA,3000,"Lat longs added by JA using Google Earth.  I could not remember where this location was, so lat longs show point roughly 1/2 up Camp Brook Road.","Note: Field trip","Sunny and warm",23,"5/15/1999",1,"81_1"
1185,44.84108,-71.6745,7,8,2019,1,82,"PO",1,"DFUS","adult",NA,NA,NA,"Lat and long provided by observers.","Weather History: hot and dry summer, and past week","Mostly cloudy",27,"8/7/2019",1,"82_1"
1188,44.84292,-71.67545,7,8,2019,1,83,"PO",1,"DFUS","juvenile",NA,NA,NA,"Lat and long provided by observers.","Weather History: hot and dry summer, and past week","Mostly cloudy",27,"8/7/2019",1,"83_1"
957,44.401457,-72.880459,30,9,2021,1,84,"PO",1,"DFUS","adult",NA,NA,250,"Lat long assigned by Matt Gorton using GE.","Weather History: Rain last night - cool and dry past few days.","Overcast",8.8,"9/30/2021",1,"84_1"
657,44.0303,-72.18544,22,8,2019,1,85,"PO",1,"DFUS","NR",NA,NA,NA,"Lat and long provided","Weather History: hot and dry summer, rain yesterday.","Mostly cloudy",26,"8/22/2019",1,"85_1"
657,44.0303,-72.18544,22,8,2019,1,86,"PO",1,"DFUS","NR",NA,NA,NA,"Lat and long provided","Weather History: hot and dry summer, rain yesterday.","Mostly cloudy",26,"8/22/2019",1,"86_1"
516,43.845837,-73.040148,10,6,1997,1,87,"PO",1,"DFUS","NR",NA,NA,200,"Lat long added by us (BA) using Google Earth.",NA,"sunny, warm, hazy",28,"6/10/1997",1,"87_1"
516,43.845837,-73.040148,10,6,1997,1,88,"PO",1,"DFUS","NR",NA,NA,200,"Lat long added by us (BA) using Google Earth.",NA,"sunny, warm, hazy",28,"6/10/1997",1,"88_1"
516,43.845837,-73.040148,10,6,1997,1,89,"PO",1,"DFUS","NR",NA,NA,200,"Lat long added by us (BA) using Google Earth.",NA,"sunny, warm, hazy",28,"6/10/1997",1,"89_1"
516,43.845837,-73.040148,10,6,1997,1,90,"PO",1,"DFUS","NR",NA,NA,200,"Lat long added by us (BA) using Google Earth.",NA,"sunny, warm, hazy",28,"6/10/1997",1,"90_1"
516,43.845837,-73.040148,10,6,1997,1,91,"PO",1,"DFUS","NR",NA,NA,200,"Lat long added by us (BA) using Google Earth.",NA,"sunny, warm, hazy",28,"6/10/1997",1,"91_1"
516,43.845837,-73.040148,10,6,1997,1,92,"PO",1,"DFUS","NR",NA,NA,200,"Lat long added by us (BA) using Google Earth.",NA,"sunny, warm, hazy",28,"6/10/1997",1,"92_1"
515,43.845787,-73.042565,17,6,1997,1,93,"PO",1,"DFUS","NR",NA,NA,250,"Lat long assigned by Matt Gorton using GE.",NA,"occasional heavy rain",14,"6/17/1997",1,"93_1"
515,43.845787,-73.042565,17,6,1997,1,94,"PO",1,"DFUS","NR",NA,NA,250,"Lat long assigned by Matt Gorton using GE.",NA,"occasional heavy rain",14,"6/17/1997",1,"94_1"
445,43.757496,-73.131133,2,7,2000,1,95,"PO",1,"DFUS","NR",NA,NA,120,"Lat long assigned by Matt Gorton using GE.","Juvenile (older than larva) was found",NA,NA,"7/2/2000",1,"95_1"
512,43.841772,-73.041478,5,7,2002,1,96,"PO",1,"DFUS","NR",NA,NA,500,"Lat long assigned by Matt Gorton using GE. ",NA,"Partly cloudy",24,"7/5/2002",1,"96_1"
466,43.77843,-73.10827,9,7,2020,1,97,"PO",1,"DFUS","NR",NA,NA,10,"Lat and long provided","Weather History: Thunder showers previous day.","Hazy",29,"7/9/2020",1,"97_1"
466,43.77843,-73.10827,9,7,2020,1,98,"PO",1,"DFUS","NR",NA,NA,10,"Lat and long provided","Weather History: Thunder showers previous day.","Hazy",29,"7/9/2020",1,"98_1"
26,42.832117,-72.629502,4,11,2017,1,99,"PO",1,"DFUS","NR",NA,NA,NA,NA,NA,NA,NA,"11/4/2017",1,"99_1"
46,42.8857,-72.646,22,5,2019,1,100,"PO",1,"DFUS","NR",NA,NA,NA,"Lat and long provided by observer.","Sprague reports “ I took the opportunity to look for a Spring Salamander, but found these guys instead.”",NA,NA,"5/22/2019",1,"100_1"
35,42.868874,-72.600915,27,4,2021,1,101,"PO",1,"DFUS","adult",NA,NA,1500,"Lat./long added by C.B. using GE and central Meadowbrook Road location. ",NA,NA,NA,"4/27/2021",1,"101_1"
35,42.868874,-72.600915,27,4,2021,1,102,"PO",1,"DFUS","adult",NA,NA,1500,"Lat./long added by C.B. using GE and central Meadowbrook Road location. ",NA,NA,NA,"4/27/2021",1,"102_1"
42,42.881002,-72.656031,28,7,2021,1,103,"PO",1,"DFUS","adult",NA,NA,400,"Lat long assigned by observer.",NA,"Partly Cloudy",18,"7/28/2021",1,"103_1"
42,42.881002,-72.656031,28,7,2021,1,104,"PO",1,"DFUS","adult",NA,NA,400,"Lat long assigned by observer.",NA,"Partly Cloudy",18,"7/28/2021",1,"104_1"
42,42.881002,-72.656031,28,7,2021,1,105,"PO",1,"DFUS","adult",NA,NA,400,"Lat long assigned by observer.",NA,"Partly Cloudy",18,"7/28/2021",1,"105_1"
351,43.627922,-72.691393,11,8,2021,1,106,"PO",1,"DFUS","NR",NA,NA,100,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast",28,"8/11/2021",1,"106_1"
635,44.010579,-73.257466,6,8,1991,1,107,"PO",1,"DFUS","NR",NA,NA,50,"Lat long added by us using Google Earth (JA). ",NA,"Overcast",19.5,"8/6/1991",1,"107_1"
635,44.010579,-73.257466,6,8,1991,1,108,"PO",1,"DFUS","NR",NA,NA,50,"Lat long added by us using Google Earth (JA). ",NA,"Overcast",19.5,"8/6/1991",1,"108_1"
635,44.010579,-73.257466,6,8,1991,1,109,"PO",1,"DFUS","NR",NA,NA,50,"Lat long added by us using Google Earth (JA). ",NA,"Overcast",19.5,"8/6/1991",1,"109_1"
635,44.010579,-73.257466,6,8,1991,1,110,"PO",1,"DFUS","NR",NA,NA,50,"Lat long added by us using Google Earth (JA). ",NA,"Overcast",19.5,"8/6/1991",1,"110_1"
635,44.010579,-73.257466,6,8,1991,1,111,"PO",1,"DFUS","NR",NA,NA,50,"Lat long added by us using Google Earth (JA). ",NA,"Overcast",19.5,"8/6/1991",1,"111_1"
635,44.010579,-73.257466,6,8,1991,1,112,"PO",1,"DFUS","egg mass",NA,NA,50,"Lat long added by us using Google Earth (JA). ","Standing water visible, probably doesn't flood.","Overcast",19.5,"8/6/1991",1,"112_1"
635,44.010579,-73.257466,6,8,1991,1,113,"PO",1,"DFUS","egg mass",NA,NA,50,"Lat long added by us using Google Earth (JA). ","Standing water visible, probably doesn't flood.","Overcast",19.5,"8/6/1991",1,"113_1"
635,44.010579,-73.257466,6,8,1991,1,114,"PO",1,"DFUS","egg mass",NA,NA,50,"Lat long added by us using Google Earth (JA). ","Standing water visible, probably doesn't flood.","Overcast",19.5,"8/6/1991",1,"114_1"
635,44.010579,-73.257466,6,8,1991,1,115,"PO",1,"DFUS","egg mass",NA,NA,50,"Lat long added by us using Google Earth (JA). ","Standing water visible, probably doesn't flood.","Overcast",19.5,"8/6/1991",1,"115_1"
647,44.02398,-73.265317,17,10,2017,1,116,"PO",1,"DFUS","NR",NA,NA,20,"Lat and long added by observer, J.A., using Google earth. ","Weather History: clear with light rain - two days.","Clear",12,"10/17/2017",1,"116_1"
647,44.02398,-73.265317,17,10,2017,1,117,"PO",1,"DFUS","NR",NA,NA,20,"Lat and long added by observer, J.A., using Google earth. ","Weather History: clear with light rain - two days.","Clear",12,"10/17/2017",1,"117_1"
790,44.173078,-73.148366,25,7,1991,1,118,"PO",1,"DFUS","adult",NA,NA,500,"Lat long assigned by Matt Gorton using GE,  Sampling took place near town borders, so town locations changed.",NA,"Clear, sunny",NA,"7/25/1991",1,"118_1"
790,44.173078,-73.148366,25,7,1991,1,119,"PO",1,"DFUS","adult",NA,NA,500,"Lat long assigned by Matt Gorton using GE,  Sampling took place near town borders, so town locations changed.",NA,"Clear, sunny",NA,"7/25/1991",1,"119_1"
790,44.173078,-73.148366,25,7,1991,1,120,"PO",1,"DFUS","NR",NA,NA,500,"Lat long assigned by Matt Gorton using GE, Sampling took place near town borders, so town locations changed.",NA,"Clear, sunny",NA,"7/25/1991",1,"120_1"
720,44.088131,-73.03656,5,6,1992,1,121,"PO",1,"DFUS","NR",NA,NA,500,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast, windy",15,"6/5/1992",1,"121_1"
720,44.088131,-73.03656,5,6,1992,1,122,"PO",1,"DFUS","NR",NA,NA,500,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast, windy",15,"6/5/1992",1,"122_1"
720,44.088131,-73.03656,5,6,1992,1,123,"PO",1,"DFUS","NR",NA,NA,500,"Lat long assigned by Matt Gorton using GE.",NA,"Overcast, windy",15,"6/5/1992",1,"123_1"
695,44.051893,-73.050658,5,5,1993,1,124,"PO",1,"DFUS","NR",NA,NA,20,"Lat and long added by S.C. using G.E.",NA,"Light rain",19,"5/5/1993",1,"124_1"
695,44.051893,-73.050658,5,5,1993,1,125,"PO",1,"DFUS","NR",NA,NA,20,"Lat and long added by S.C. using G.E.",NA,"Light rain",19,"5/5/1993",1,"125_1"
680,44.044194,-73.059672,4,6,1993,1,126,"PO",1,"DFUS","NR",NA,NA,400,"Lat long assigned by Matt Gorton using GE.","found along border of two towns; duplicate records created found along border of two towns; duplicate records created","sunny,  partial clouds.",19,"6/4/1993",1,"126_1"
680,44.044194,-73.059672,4,6,1993,1,127,"PO",1,"DFUS","NR",NA,NA,400,"Lat long assigned by Matt Gorton using GE.","found along border of two towns; duplicate records created found along border of two towns; duplicate records created","sunny,  partial clouds.",19,"6/4/1993",1,"127_1"
680,44.044194,-73.059672,4,6,1993,1,128,"PO",1,"DFUS","NR",NA,NA,400,"Lat long assigned by Matt Gorton using GE.","found along border of two towns; duplicate records created found along border of two towns; duplicate records created","sunny,  partial clouds.",19,"6/4/1993",1,"128_1"
680,44.044194,-73.059672,4,6,1993,1,129,"PO",1,"DFUS","NR",NA,NA,400,"Lat long assigned by Matt Gorton using GE.","found along border of two towns; duplicate records created found along border of two towns; duplicate records created","sunny,  partial clouds.",19,"6/4/1993",1,"129_1"
680,44.044194,-73.059672,4,6,1993,1,130,"PO",1,"DFUS","NR",NA,NA,400,"Lat long assigned by Matt Gorton using GE.","found along border of two towns; duplicate records created found along border of two towns; duplicate records created","sunny,  partial clouds.",19,"6/4/1993",1,"130_1"
684,44.046931,-73.052513,26,10,1993,1,131,"PO",1,"DFUS","NR",NA,NA,500,"Lat long assigned by Matt Gorton using GE.",NA,"cool,  partly. cloudy.",13,"10/26/1993",1,"131_1"
684,44.046931,-73.052513,26,10,1993,1,132,"PO",1,"DFUS","NR",NA,NA,500,"Lat long assigned by Matt Gorton using GE.",NA,"cool,  partly. cloudy.",13,"10/26/1993",1,"132_1"
